Account Number,Fund Number,Fund Name,Fund Group,Department,Division,Account Description,Sub Account Description,Element Description,Object Description,Year,Amount
231-0000-361.51-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2016,"$1,490"
231-0000-371.10-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,LOAN PAYMENTS,LOAN REPAYMENT OF PRINCIP,REPAY ON LOANS,,2016,"$10,885"
231-0000-395.30-00,231,REVOLVING LOAN PROGRAM,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
234-0000-300.00-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$537,340"
234-0000-311.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$2,659,105"
234-0000-313.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,TAXES,SALES TAX,SALES TAX,,2016,$0
234-0000-334.90-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2016,$330
234-0000-361.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
234-0000-361.30-01,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
234-0000-361.50-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2016,$0
234-0000-361.51-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2016,$0
234-0000-363.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,LAND RENTAL,,2016,"$76,500"
234-0000-363.25-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2016,$0
234-0000-391.03-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF #5,,2016,$0
234-0000-391.05-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM NSP2,,2016,"$11,650"
234-0000-391.10-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM GENERAL,,2016,$0
234-0000-391.27-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF#12,,2016,$0
234-0000-391.28-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,TRANSFER FROM TIF#11,,2016,$0
234-0000-395.30-00,234,TIF #1 DOWNTOWN,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
235-0000-300.00-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$3,885"
235-0000-311.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$234,025"
235-0000-361.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$40
235-0000-361.30-01,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
235-0000-361.51-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON LOANS,,2016,$0
235-0000-393.10-00,235,TIF #2 ONE MOLINE PLACE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2016,$0
236-0000-300.00-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$4,185"
236-0000-311.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$53,295"
236-0000-361.10-00,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
236-0000-361.30-01,236,TIF #3 OLD HIGH SCHOOL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$10
237-0000-300.00-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$224,695"
237-0000-311.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$191,925"
237-0000-361.10-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
237-0000-361.30-01,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
237-0000-395.30-00,237,TIF #4 AUTUMN TRAILS,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
243-0000-311.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$495,035"
243-0000-361.10-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
243-0000-361.30-01,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
243-0000-395.30-00,243,TIF #5 KONE CENTRE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
244-0000-300.00-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$215,495"
244-0000-311.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,$0
244-0000-361.10-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
244-0000-361.30-01,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
244-0000-392.20-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2016,$0
244-0000-395.30-00,244,TIF #6 MOLINE PL PH 2 & 3,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
245-0000-300.00-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$5,975,335"
245-0000-311.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,$840
245-0000-361.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
245-0000-361.30-01,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
245-0000-361.50-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2016,$0
245-0000-393.10-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2016,$0
245-0000-395.99-00,245,TIF #7 MOLINE BUS PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,PREMIUMS,,2016,$0
246-0000-300.00-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
246-0000-311.10-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$8,055"
246-0000-361.10-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
246-0000-361.30-01,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
246-0000-395.30-00,246,TIF #9 ROUTE 6 & 150,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
248-0000-300.00-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$35,000"
248-0000-311.10-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,$0
248-0000-361.10-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
248-0000-395.30-00,248,TIF #8 SOUTHPARK MALL,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
249-0000-300.00-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
249-0000-311.10-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$141,375"
249-0000-361.10-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
249-0000-361.30-01,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
249-0000-395.30-00,249,TIF #10 HEALTH PARK,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
252-0000-300.00-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
252-0000-311.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$140,485"
252-0000-314.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,TAXES,SELECTIVE SALES/USE TAXES,HOTEL/MOTEL TAX,,2016,"$35,600"
252-0000-361.10-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
252-0000-361.30-01,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
252-0000-363.75-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,PLAZA RENTAL FEES,,2016,"$1,375"
252-0000-395.30-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
252-0000-395.61-00,252,SSA #5 ÿBASS ST LANDING,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SPECIAL EVENT SERVICES,,2016,$25
253-0000-300.00-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
253-0000-311.10-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$258,415"
253-0000-311.10-10,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,SPECIAL DISTRIBUTIONS,2016,$0
253-0000-361.10-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
253-0000-361.30-01,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
253-0000-395.30-00,253,SSA #6 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
260-0000-300.00-00,260,TIF #11 ÿMULTI-MODAL AREA,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$3,087,525"
260-0000-311.10-00,260,TIF #11 ÿMULTI-MODAL AREA,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,$0
260-0000-361.10-00,260,TIF #11 ÿMULTI-MODAL AREA,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
260-0000-363.20-00,260,TIF #11 ÿMULTI-MODAL AREA,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,BUILDING RENTAL,,2016,$0
261-0000-300.00-00,261,TIF #12 RIVERBEND COMMONS,SPECIAL REVENUE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
261-0000-311.10-00,261,TIF #12 RIVERBEND COMMONS,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,"$147,740"
261-0000-361.10-00,261,TIF #12 RIVERBEND COMMONS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
261-0000-361.30-01,261,TIF #12 RIVERBEND COMMONS,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
262-0000-311.10-00,262,TIF #13 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,TAXES,PROPERTY TAXES,PROPERTY TAXES,,2016,$0
262-0000-361.10-00,262,TIF #13 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
262-0000-361.30-01,262,TIF #13 MOLINE CENTRE,SPECIAL REVENUE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON TAXES,INTEREST - PROPERTY TAX,2016,$0
310-0000-300.00-00,310,WATER FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$519,495"
310-0000-334.90-00,310,WATER FUND,ENTERPRISE FUNDS,,,INTERGOVERNMENTAL REVENUE,INTERGOVERNMENTAL REVENUE,OTHER FED/STATE GRANTS,,2016,$0
310-0000-341.50-06,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,GENERAL GOVERNMENT,MUNICIPAL SERVICES,PUBLIC WORK SERVICES,2016,$0
310-0000-343.33-01,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2016,"$8,145,870"
310-0000-343.33-03,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SERVICE CHARGES,2016,"$8,000"
310-0000-343.33-04,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SPRINKLER CHARGES,2016,"$152,605"
310-0000-343.33-05,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,PRIVATE HYDRANT CHARGES,2016,"$190,075"
310-0000-343.33-11,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,TAP ON CHARGES,2016,"$4,000"
310-0000-343.33-20,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,JULIE LOCATE FEES,2016,"$46,935"
310-0000-343.33-25,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,METERING SERVICES,2016,"$232,530"
310-0000-343.33-75,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,S EVENT/CONSTRCT WATERUSE,2016,"$17,000"
310-0000-343.33-99,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,MISCELLANEOUS CHARGES,2016,"$175,000"
310-0000-345.40-10,310,WATER FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,HEALTH,LAB FEES,LAB FEES,2016,"$2,100"
310-0000-353.30-00,310,WATER FUND,ENTERPRISE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2016,"$76,000"
310-0000-361.10-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,"$1,500"
310-0000-361.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2016,$5
310-0000-361.21-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2016,$500
310-0000-361.50-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2016,"$5,000"
310-0000-363.25-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2016,"$75,000"
310-0000-365.75-00,310,WATER FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DONATED MAIN,,2016,$0
310-0000-391.32-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM WPC,,2016,"$100,000"
310-0000-392.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2016,$0
310-0000-392.40-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SCRAP,,2016,"$2,000"
310-0000-393.10-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,G.O. BOND PROCEEDS,,2016,$0
310-0000-395.20-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2016,$0
310-0000-395.30-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,"$8,000"
310-0000-395.40-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OVER - SHORT,,2016,$0
310-0000-395.51-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,SERVICE REPAIR REIMBURSMT,,2016,$0
310-0000-395.65-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE CLAIM REIMBURSMENT,,2016,$0
310-0000-395.85-00,310,WATER FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,GAIN/LOSS CAPITAL ASSET,,2016,$0
320-0000-300.00-00,320,WPC FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$814,160"
320-0000-343.33-01,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2016,"$8,066,640"
320-0000-343.33-02,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,EAST MOLINE CHARGES,2016,"$255,000"
320-0000-343.33-03,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SERVICE CHARGES,2016,"$24,000"
320-0000-343.33-09,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,PRETREATMENT CHARGES,2016,"$7,000"
320-0000-343.33-10,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,SLUDGE COLLECTION,2016,"$450,000"
320-0000-343.33-11,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,TAP ON CHARGES,2016,"$5,000"
320-0000-343.33-65,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,COAL VALLEY CHARGES,2016,"$300,000"
320-0000-343.33-99,320,WPC FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,MISCELLANEOUS CHARGES,2016,"$16,000"
320-0000-353.30-00,320,WPC FUND,ENTERPRISE FUNDS,,,FINES AND FORFEITURES,PENALTIES,LATE/OVERDUE PENALTIES,,2016,"$65,000"
320-0000-361.10-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,"$2,400"
320-0000-361.20-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,ILLINOIS FUNDS INTEREST,,2016,$100
320-0000-361.21-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,IMET INTEREST,,2016,$0
320-0000-361.50-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,CERTIFICATE OF DEPOSIT,,2016,$0
320-0000-361.90-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,OTHER INTEREST,,2016,$0
320-0000-363.25-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,RENTALS & LEASES,ANTENNA LEASE AGREEMENTS,,2016,"$17,350"
320-0000-365.75-00,320,WPC FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,CONTRIBUTIONS/DONATIONS,DONATED MAIN,,2016,$0
320-0000-391.31-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,INTERFUND TRANSFERS,FROM WATER,,2016,$0
320-0000-392.20-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SURPLUS PROPERTY,,2016,$0
320-0000-392.40-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,SALE OF CITY PROPERTY,SALE OF SCRAP,,2016,$0
320-0000-393.50-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,PROCEEDS OF GLT DEBT,LOAN PROCEEDS,,2016,"$17,000,000"
320-0000-395.20-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,DAMAGE TO CITY PROPERTY,,2016,$0
320-0000-395.30-00,320,WPC FUND,ENTERPRISE FUNDS,,,OTHER FINANCING SOURCES,MISCELLANEOUS REVENUES,OTHER,,2016,$0
330-0000-300.00-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,"$1,675"
330-0000-322.33-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,LICENSES AND PERMITS,NON-BUSINESS LIC/PERMITS,STORM WATER PERMIT FEES,,2016,"$15,000"
330-0000-343.33-01,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,CHARGES FOR SERVICES,UTILITIES,CUSTOMER CHARGES,USER CHARGES,2016,"$1,000,000"
330-0000-361.10-00,330,STORMWATER UTILITY FUND,ENTERPRISE FUNDS,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$500
410-0000-300.00-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,EXCESS RESERVES,TRANSFER FROM RESERVES,,,2016,$0
410-0000-361.10-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,BANK INTEREST,,2016,$0
410-0000-361.15-00,410,FIRE PENSION FUND,TRUST & AGENCIES,,,USE OF MONEY/PROPERTY,INTEREST REVENUES,INTEREST ON MONEY MKT,,2016,$200
