Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
010-0525-412.05-55,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,RENTAL INSPECTION PROGRAM,GENERAL GOVERNMENT,JUDICIAL,OTHER SERVICES,LIABILITY INS COVERAGE,2017,$225,,,,,,,,,,,,,,
010-0525-412.06-01,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,RENTAL INSPECTION PROGRAM,GENERAL GOVERNMENT,JUDICIAL,SUPPLIES,OFFICE SUPPLIES,2017,$500,,,,,,,,,,,,,,
010-0525-412.06-08,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,RENTAL INSPECTION PROGRAM,GENERAL GOVERNMENT,JUDICIAL,SUPPLIES,DATA PROCESSING SUPPLIES,2017,$500,,,,,,,,,,,,,,
010-0525-412.06-30,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,RENTAL INSPECTION PROGRAM,GENERAL GOVERNMENT,JUDICIAL,SUPPLIES,OPERATING SUPPLIES,2017,$500,,,,,,,,,,,,,,
010-0526-415.01-01,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,FULL-TIME SALARIES,2017,"$95,475",,,,,,,,,,,,,,
010-0526-415.01-24,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0526-415.01-27,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0526-415.02-30,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$7,305",,,,,,,,,,,,,,
010-0526-415.02-35,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$9,570",,,,,,,,,,,,,,
010-0526-415.02-50,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$12,185",,,,,,,,,,,,,,
010-0526-415.02-54,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREE HEALTH INSURANCE,2017,$0,,,,,,,,,,,,,,
010-0526-415.03-22,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2017,"$3,000",,,,,,,,,,,,,,
010-0526-415.03-25,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,RECRUITMENT EXPENSE,2017,"$51,000",,,,,,,,,,,,,,
010-0526-415.03-36,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$6,500",,,,,,,,,,,,,,
010-0526-415.03-61,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,PAYMENT TO AGENCIES,2017,"$6,800",,,,,,,,,,,,,,
010-0526-415.04-30,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$30,715",,,,,,,,,,,,,,
010-0526-415.05-02,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,PRINTING/DUPLICATING,2017,$700,,,,,,,,,,,,,,
010-0526-415.05-03,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2017,$145,,,,,,,,,,,,,,
010-0526-415.05-04,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,POSTAGE/SHIPPING,2017,$800,,,,,,,,,,,,,,
010-0526-415.05-05,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,MEMBERSHIP/PUBLICATION,2017,$200,,,,,,,,,,,,,,
010-0526-415.05-06,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2017,"$18,000",,,,,,,,,,,,,,
010-0526-415.05-55,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$2,075",,,,,,,,,,,,,,
010-0526-415.06-30,10,GENERAL FUND,GENERAL FUND,LAW DEPARTMENT,HUMAN RESOURCES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SUPPLIES,OPERATING SUPPLIES,2017,$800,,,,,,,,,,,,,,
010-0631-415.01-01,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,FULL-TIME SALARIES,2017,"$726,595",,,,,,,,,,,,,,
010-0631-415.01-11,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,OVERTIME PAY,2017,$0,,,,,,,,,,,,,,
010-0631-415.01-24,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0631-415.01-27,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0631-415.02-30,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$53,530",,,,,,,,,,,,,,
010-0631-415.02-35,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREMENT - IMRF,2017,"$72,805",,,,,,,,,,,,,,
010-0631-415.02-50,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$122,145",,,,,,,,,,,,,,
010-0631-415.02-54,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,RETIREE HEALTH INSURANCE,2017,$0,,,,,,,,,,,,,,
010-0631-415.02-55,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2017,"$7,200",,,,,,,,,,,,,,
010-0631-415.02-57,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,EMPLOYEE BENEFITS,CLOTHING ALLOWANCE,2017,$0,,,,,,,,,,,,,,
010-0631-415.03-21,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2017,"$13,440",,,,,,,,,,,,,,
010-0631-415.03-22,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2017,"$103,450",,,,,,,,,,,,,,
010-0631-415.03-36,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$48,220",,,,,,,,,,,,,,
010-0631-415.03-63,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROFESSIONAL SERVICES,OUTSIDE LEGAL SERVICES,2017,$0,,,,,,,,,,,,,,
010-0631-415.04-15,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROPERTY SERVICES,RENTAL EXPENSE,2017,"$2,210",,,,,,,,,,,,,,
010-0631-415.04-28,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROPERTY SERVICES,VEHICLE LEASE,2017,$0,,,,,,,,,,,,,,
010-0631-415.04-29,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROPERTY SERVICES,NON MAINT FLEET REPAIR,2017,$0,,,,,,,,,,,,,,
010-0631-415.04-30,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$84,140",,,,,,,,,,,,,,
010-0631-415.05-02,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,PRINTING/DUPLICATING,2017,"$4,700",,,,,,,,,,,,,,
010-0631-415.05-03,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,TELECOMMUNICATIONS,2017,$480,,,,,,,,,,,,,,
010-0631-415.05-04,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,POSTAGE/SHIPPING,2017,"$8,605",,,,,,,,,,,,,,
010-0631-415.05-05,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,MEMBERSHIP/PUBLICATION,2017,"$1,760",,,,,,,,,,,,,,
010-0631-415.05-06,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2017,$450,,,,,,,,,,,,,,
010-0631-415.05-07,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,PUBLIC/EMPLOYEE RELATIONS,2017,$400,,,,,,,,,,,,,,
010-0631-415.05-10,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2017,$300,,,,,,,,,,,,,,
010-0631-415.05-55,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$11,620",,,,,,,,,,,,,,
010-0631-415.06-01,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SUPPLIES,OFFICE SUPPLIES,2017,"$8,200",,,,,,,,,,,,,,
010-0631-415.06-30,10,GENERAL FUND,GENERAL FUND,ACCOUNTS & FINANCE,FINANCIAL SERVICES,GENERAL GOVERNMENT,FINANCIAL SERVICES,SUPPLIES,OPERATING SUPPLIES,2017,$0,,,,,,,,,,,,,,
010-0714-463.01-01,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SALARIES/WAGES,FULL-TIME SALARIES,2017,"$252,510",,,,,,,,,,,,,,
010-0714-463.01-23,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SALARIES/WAGES,DUTY DISABILITY,2017,$0,,,,,,,,,,,,,,
010-0714-463.01-24,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
010-0714-463.01-27,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SALARIES/WAGES,OTHER ACCUM LEAVE PAY,2017,$0,,,,,,,,,,,,,,
010-0714-463.02-30,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$19,310",,,,,,,,,,,,,,
010-0714-463.02-35,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2017,"$25,300",,,,,,,,,,,,,,
010-0714-463.02-50,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$33,615",,,,,,,,,,,,,,
010-0714-463.05-10,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,COMMUNITY DEV GRANTS,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2017,$0,,,,,,,,,,,,,,
010-0715-463.01-01,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SALARIES/WAGES,FULL-TIME SALARIES,2017,"$340,530",,,,,,,,,,,,,,
010-0715-463.02-30,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2017,"$25,370",,,,,,,,,,,,,,
010-0715-463.02-35,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2017,"$34,125",,,,,,,,,,,,,,
010-0715-463.02-50,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2017,"$55,115",,,,,,,,,,,,,,
010-0715-463.02-55,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2017,"$11,700",,,,,,,,,,,,,,
010-0715-463.03-21,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2017,"$21,215",,,,,,,,,,,,,,
010-0715-463.03-22,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2017,"$294,930",,,,,,,,,,,,,,
010-0715-463.03-24,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROFESSIONAL SERVICES,COURT/RECORDING FEES,2017,$500,,,,,,,,,,,,,,
010-0715-463.03-36,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2017,"$46,970",,,,,,,,,,,,,,
010-0715-463.03-61,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROFESSIONAL SERVICES,PAYMENTS TO AGENCIES,2017,"$1,440,740",,,,,,,,,,,,,,
010-0715-463.04-15,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,RENTAL EXPENSE,2017,"$15,500",,,,,,,,,,,,,,
010-0715-463.04-16,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,UTILITIES,2017,"$6,500",,,,,,,,,,,,,,
010-0715-463.04-30,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,FACILITY MANAGEMENT,2017,"$184,485",,,,,,,,,,,,,,
010-0715-463.04-40,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,TAXES,2017,"$13,500",,,,,,,,,,,,,,
010-0715-463.05-02,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,PRINTING/DUPLICATING,2017,"$2,100",,,,,,,,,,,,,,
010-0715-463.05-03,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,TELECOMMUNICATIONS,2017,$565,,,,,,,,,,,,,,
010-0715-463.05-04,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,POSTAGE/SHIPPING,2017,"$1,500",,,,,,,,,,,,,,
010-0715-463.05-05,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,MEMBERSHIP/PUBLICATION,2017,"$5,055",,,,,,,,,,,,,,
010-0715-463.05-06,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,ADVERTISING/PROMOTION,2017,"$2,600",,,,,,,,,,,,,,
010-0715-463.05-07,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,PUBLIC/EMPLOYEE RELATION,2017,$500,,,,,,,,,,,,,,
010-0715-463.05-10,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2017,$550,,,,,,,,,,,,,,
010-0715-463.05-55,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,OTHER SERVICES,LIABILITY INS COVERAGE,2017,"$9,620",,,,,,,,,,,,,,
010-0715-463.06-01,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SUPPLIES,OFFICE SUPPLIES,2017,"$1,200",,,,,,,,,,,,,,
010-0715-463.06-08,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SUPPLIES,DATA PROCESSING SUPPLIES,2017,$350,,,,,,,,,,,,,,
010-0715-463.06-30,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,SUPPLIES,OPERATING SUPPLIES,2017,"$1,200",,,,,,,,,,,,,,
010-0715-463.08-01,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,CAPITAL EXPENSE,LAND ACQUISITION,2017,$0,,,,,,,,,,,,,,
010-0717-463.04-16,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,HERITAGE PARKING RAMP,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,UTILITIES,2017,"$16,500",,,,,,,,,,,,,,
010-0717-463.04-26,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,HERITAGE PARKING RAMP,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,MAINTENANCE CONTRACT,2017,"$51,340",,,,,,,,,,,,,,
010-0718-463.04-16,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,CENTRE STATION MAINT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,UTILITIES,2017,"$55,000",,,,,,,,,,,,,,
010-0718-463.04-26,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,CENTRE STATION MAINT,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,MAINTENANCE CONTRACT,2017,"$60,000",,,,,,,,,,,,,,
010-0719-463.04-16,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,MIDTOWNE PARKING RAMP,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,UTILITIES,2017,"$18,000",,,,,,,,,,,,,,
010-0719-463.04-26,10,GENERAL FUND,GENERAL FUND,COMMUNITY & ECONOMIC DEV,MIDTOWNE PARKING RAMP,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,PROPERTY SERVICES,MAINTENANCE CONTRACT,2017,"$52,000",,,,,,,,,,,,,,
010-0821-423.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,HERITAGE PARKING RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,UTILITY SERVICES,2017,$0,,,,,,,,,,,,,,
010-0821-423.04-26,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,HERITAGE PARKING RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,MAINTENANCE SERV CONTRACT,2017,$0,,,,,,,,,,,,,,
010-0822-423.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,CENTRE STATION RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,UTILITY SERVICES,2017,$0,,,,,,,,,,,,,,
010-0822-423.04-26,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,CENTRE STATION RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,MAINTENANCE SERV CONTRACT,2017,$0,,,,,,,,,,,,,,
010-0823-423.04-16,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,MIDTOWN PARKING RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,UTILITY SERVICES,2017,$0,,,,,,,,,,,,,,
010-0823-423.04-26,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,MIDTOWN PARKING RAMP,PUBLIC SAFETY,TRAFFIC,PROPERTY SERVICES,MAINTENANCE SERV CONTRACT,2017,$0,,,,,,,,,,,,,,
010-0828-423.01-01,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,FULL TIME SALARIES,2017,"$68,975",,,,,,,,,,,,,,
010-0828-423.01-11,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,OVERTIME PAY,2017,"$2,500",,,,,,,,,,,,,,
010-0828-423.01-23,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,DUTY DISABILITY,2017,$0,,,,,,,,,,,,,,
010-0828-423.01-24,10,GENERAL FUND,GENERAL FUND,PUBLIC WORKS,PUBLIC PROP MAINTENANCE,PUBLIC SAFETY,TRAFFIC,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2017,$0,,,,,,,,,,,,,,
