Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C),Hospital Size by Discharges,Hospital Type,Hospital Size by Total Revenue
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02726,114,"Somerset, MA",Somerset,MA,Bristol County,480,9813,1931,0.048914705,0.248575867,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02790,114,"Westport, MA",Westport,MA,Bristol County,470,9813,1830,0.047895649,0.256830601,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02777,114,"Swansea, MA",Swansea,MA,Bristol County,466,9813,1735,0.047488026,0.268587896,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02740,114,"New Bedford, MA",New Bedford,MA,Bristol County,318,9813,6740,0.032405992,0.047181009,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02747,114,"North Dartmouth, MA",North Dartmouth,MA,Bristol County,302,9813,2198,0.030775502,0.137397634,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02745,114,"New Bedford, MA",New Bedford,MA,Bristol County,201,9813,3304,0.020483033,0.060835351,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02719,114,"Fairhaven, MA",Fairhaven,MA,Bristol County,158,9813,2086,0.01610109,0.075743049,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02725,114,"Somerset, MA",Somerset,MA,Bristol County,129,9813,413,0.013145827,0.312348668,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02748,114,"South Dartmouth, MA",South Dartmouth,MA,Bristol County,99,9813,1439,0.010088658,0.068797776,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02746,114,"New Bedford, MA",New Bedford,MA,Bristol County,89,9813,2268,0.009069602,0.039241623,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02780,114,"Taunton, MA",Taunton,MA,Bristol County,88,9813,7200,0.008967696,0.012222222,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02743,114,"Acushnet, MA",Acushnet,MA,Bristol County,78,9813,1153,0.00794864,0.06764961,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02744,114,"New Bedford, MA",New Bedford,MA,Bristol County,53,9813,1727,0.005400999,0.030689056,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02717,114,"East Freetown, MA",East Freetown,MA,Bristol County,41,9813,462,0.004178131,0.088744589,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02072,114,"Stoughton, MA",Stoughton,MA,Norfolk County,37,9813,3994,0.003770509,0.009263896,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02715,114,"Dighton, MA",Dighton,MA,Bristol County,36,9813,358,0.003668603,0.100558659,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02702,114,"Assonet, MA",Assonet,MA,Bristol County,35,9813,421,0.003566697,0.083135392,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02767,114,"Raynham, MA",Raynham,MA,Bristol County,31,9813,1989,0.003159075,0.015585721,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02779,114,"Berkley, MA",Berkley,MA,Bristol County,30,9813,601,0.003057169,0.049916805,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02346,114,"Middleboro, MA",Middleboro,MA,Plymouth County,27,9813,3238,0.002751452,0.008338481,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
Steward Saint Anne's Hospital,Steward Health Care System,"Community, High Public Payer",02347,114,"Lakeville, MA",Lakeville,MA,Plymouth County,27,9813,1154,0.002751452,0.02339688,"1,000-9,999",Community High Public Payer Hospital,$250M-$500M
South Shore Hospital,Not Applicable,Community Hospital,02184,122,"Braintree, MA",Braintree,MA,Norfolk County,2392,28902,4801,0.082762439,0.498229536,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02169,122,"Quincy, MA",Quincy,MA,Norfolk County,2111,28902,7368,0.073039928,0.286509229,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02043,122,"Hingham, MA",Hingham,MA,Plymouth County,1680,28902,2711,0.058127465,0.619697529,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02188,122,"Weymouth, MA",Weymouth,MA,Norfolk County,1592,28902,2430,0.055082693,0.655144033,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02190,122,"South Weymouth, MA",South Weymouth,MA,Norfolk County,1548,28902,2385,0.053560307,0.649056604,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02370,122,"Rockland, MA",Rockland,MA,Plymouth County,1525,28902,2567,0.052764515,0.594078691,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02189,122,"East Weymouth, MA",East Weymouth,MA,Norfolk County,1410,28902,2095,0.048785551,0.673031026,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02050,122,"Marshfield, MA",Marshfield,MA,Plymouth County,1355,28902,2688,0.046882569,0.504092262,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02066,122,"Scituate, MA",Scituate,MA,Plymouth County,1196,28902,1885,0.041381219,0.634482759,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02359,122,"Pembroke, MA",Pembroke,MA,Plymouth County,941,28902,1884,0.0325583,0.499469214,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02351,122,"Abington, MA",Abington,MA,Plymouth County,938,28902,2094,0.032454501,0.447946514,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02339,122,"Hanover, MA",Hanover,MA,Plymouth County,877,28902,1416,0.030343921,0.619350282,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02045,122,"Hull, MA",Hull,MA,Plymouth County,834,28902,1362,0.028856135,0.612334802,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02061,122,"Norwell, MA",Norwell,MA,Plymouth County,702,28902,1161,0.024288977,0.604651163,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02191,122,"North Weymouth, MA",North Weymouth,MA,Norfolk County,633,28902,1056,0.021901599,0.599431818,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02343,122,"Holbrook, MA",Holbrook,MA,Norfolk County,630,28902,1635,0.021797799,0.385321101,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02360,122,"Plymouth, MA",Plymouth,MA,Plymouth County,602,28902,6947,0.020829008,0.086656111,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02382,122,"Whitman, MA",Whitman,MA,Plymouth County,560,28902,1742,0.019375822,0.321469575,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02341,122,"Hanson, MA",Hanson,MA,Plymouth County,547,28902,1304,0.018926026,0.419478528,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02368,122,"Randolph, MA",Randolph,MA,Norfolk County,491,28902,4280,0.016988444,0.114719626,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02025,122,"Cohasset, MA",Cohasset,MA,Norfolk County,441,28902,773,0.01525846,0.570504528,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02333,122,"East Bridgewater, MA",East Bridgewater,MA,Plymouth County,381,28902,1690,0.013182479,0.225443787,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02332,122,"Duxbury, MA",Duxbury,MA,Plymouth County,375,28902,1312,0.012974881,0.285823171,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02324,122,"Bridgewater, MA",Bridgewater,MA,Plymouth County,372,28902,2636,0.012871082,0.141122914,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02364,122,"Kingston, MA",Kingston,MA,Plymouth County,320,28902,1580,0.011071898,0.202531646,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02301,122,"Brockton, MA",Brockton,MA,Plymouth County,313,28902,11364,0.0108297,0.027543119,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02302,122,"Brockton, MA",Brockton,MA,Plymouth County,282,28902,4728,0.00975711,0.05964467,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02338,122,"Halifax, MA",Halifax,MA,Plymouth County,282,28902,948,0.00975711,0.297468354,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02170,122,"Quincy, MA",Quincy,MA,Norfolk County,254,28902,1698,0.008788319,0.14958775,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02171,122,"Quincy, MA",Quincy,MA,Norfolk County,227,28902,1850,0.007854128,0.122702703,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02346,122,"Middleboro, MA",Middleboro,MA,Plymouth County,209,28902,3238,0.007231333,0.064546016,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02072,122,"Stoughton, MA",Stoughton,MA,Norfolk County,163,28902,3994,0.005639748,0.040811217,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02330,122,"Carver, MA",Carver,MA,Plymouth County,156,28902,1633,0.00539755,0.0955297,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02186,122,"Milton, MA",Milton,MA,Norfolk County,143,28902,2672,0.004947754,0.053517964,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02780,122,"Taunton, MA",Taunton,MA,Bristol County,132,28902,7200,0.004567158,0.018333333,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02379,122,"West Bridgewater, MA",West Bridgewater,MA,Plymouth County,95,28902,1161,0.00328697,0.081826012,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02767,122,"Raynham, MA",Raynham,MA,Bristol County,88,28902,1989,0.003044772,0.044243338,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02021,122,"Canton, MA",Canton,MA,Norfolk County,70,28902,2854,0.002421978,0.02452698,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02367,122,"Plympton, MA",Plympton,MA,Plymouth County,70,28902,373,0.002421978,0.18766756,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02322,122,"Avon, MA",Avon,MA,Norfolk County,67,28902,666,0.002318179,0.100600601,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02347,122,"Lakeville, MA",Lakeville,MA,Plymouth County,65,28902,1154,0.002248979,0.056325823,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02356,122,"North Easton, MA",North Easton,MA,Bristol County,64,28902,1398,0.00221438,0.045779685,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02124,122,"Dorchester Center, MA",Dorchester Center,MA,Suffolk County,55,28902,6492,0.001902982,0.008471965,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02127,122,"Boston, MA",Boston,MA,Suffolk County,51,28902,3350,0.001764584,0.015223881,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02122,122,"Dorchester, MA",Dorchester,MA,Suffolk County,45,28902,2581,0.001556986,0.017435103,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02375,122,"South Easton, MA",South Easton,MA,Bristol County,42,28902,1152,0.001453187,0.036458333,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02047,122,"Humarock, MA",Humarock,MA,Plymouth County,39,28902,73,0.001349388,0.534246575,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02532,122,"Buzzards Bay, MA",Buzzards Bay,MA,Barnstable County,39,28902,1603,0.001349388,0.024329382,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02331,122,"Duxbury, MA",Duxbury,MA,Plymouth County,37,28902,150,0.001280188,0.246666667,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02062,122,"Norwood, MA",Norwood,MA,Norfolk County,34,28902,4371,0.001176389,0.00777854,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02041,122,"Green Harbor, MA",Green Harbor,MA,Plymouth County,33,28902,77,0.001141789,0.428571429,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02766,122,"Norton, MA",Norton,MA,Bristol County,33,28902,1890,0.001141789,0.017460317,"20,000-29,999",Community Hospital,More than $500M
South Shore Hospital,Not Applicable,Community Hospital,02048,122,"Mansfield, MA",Mansfield,MA,Bristol County,29,28902,1966,0.001003391,0.014750763,"20,000-29,999",Community Hospital,More than $500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02135,126,"Brighton, MA",Brighton,MA,Suffolk County,1740,13403,3538,0.129821682,0.491803279,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02780,126,"Taunton, MA",Taunton,MA,Bristol County,466,13403,7200,0.034768335,0.064722222,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02472,126,"Watertown, MA",Watertown,MA,Middlesex County,441,13403,3093,0.032903081,0.142580019,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02134,126,"Allston, MA",Allston,MA,Suffolk County,427,13403,1114,0.031858539,0.383303411,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02301,126,"Brockton, MA",Brockton,MA,Plymouth County,386,13403,11364,0.028799522,0.033966913,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02169,126,"Quincy, MA",Quincy,MA,Norfolk County,267,13403,7368,0.019920913,0.036237785,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02453,126,"Waltham, MA",Waltham,MA,Middlesex County,245,13403,2576,0.01827949,0.095108696,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02124,126,"Dorchester Center, MA",Dorchester Center,MA,Suffolk County,236,13403,6492,0.017607998,0.036352434,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02458,126,"Newton, MA",Newton,MA,Middlesex County,229,13403,1193,0.017085727,0.19195306,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01844,126,"Methuen, MA",Methuen,MA,Essex County,218,13403,6162,0.016265015,0.035378124,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02062,126,"Norwood, MA",Norwood,MA,Norfolk County,192,13403,4371,0.014325151,0.043925875,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02072,126,"Stoughton, MA",Stoughton,MA,Norfolk County,154,13403,3994,0.011489965,0.038557837,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01830,126,"Haverhill, MA",Haverhill,MA,Essex County,150,13403,4242,0.011191524,0.035360679,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01841,126,"Lawrence, MA",Lawrence,MA,Essex County,145,13403,6576,0.010818473,0.022049878,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02451,126,"Waltham, MA",Waltham,MA,Middlesex County,132,13403,1781,0.009848541,0.074115665,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02132,126,"West Roxbury, MA",West Roxbury,MA,Suffolk County,126,13403,3315,0.00940088,0.03800905,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02446,126,"Brookline, MA",Brookline,MA,Norfolk County,123,13403,2118,0.00917705,0.058073654,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02721,126,"Fall River, MA",Fall River,MA,Bristol County,116,13403,4839,0.008654779,0.023971895,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02026,126,"Dedham, MA",Dedham,MA,Norfolk County,111,13403,3323,0.008281728,0.033403551,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02126,126,"Mattapan, MA",Mattapan,MA,Suffolk County,105,13403,3221,0.007834067,0.032598572,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02346,126,"Middleboro, MA",Middleboro,MA,Plymouth County,105,13403,3238,0.007834067,0.032427424,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02368,126,"Randolph, MA",Randolph,MA,Norfolk County,105,13403,4280,0.007834067,0.02453271,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02302,126,"Brockton, MA",Brockton,MA,Plymouth County,99,13403,4728,0.007386406,0.020939086,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02136,126,"Hyde Park, MA",Hyde Park,MA,Suffolk County,95,13403,4067,0.007087965,0.023358741,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02445,126,"Brookline, MA",Brookline,MA,Norfolk County,95,13403,1482,0.007087965,0.064102564,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02021,126,"Canton, MA",Canton,MA,Norfolk County,94,13403,2854,0.007013355,0.03293623,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02452,126,"Waltham, MA",Waltham,MA,Middlesex County,88,13403,1149,0.006565694,0.076588338,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01832,126,"Haverhill, MA",Haverhill,MA,Essex County,87,13403,2705,0.006491084,0.032162662,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02767,126,"Raynham, MA",Raynham,MA,Bristol County,87,13403,1989,0.006491084,0.043740573,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02324,126,"Bridgewater, MA",Bridgewater,MA,Plymouth County,86,13403,2636,0.006416474,0.03262519,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02081,126,"Walpole, MA",Walpole,MA,Norfolk County,82,13403,2334,0.006118033,0.035132819,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02122,126,"Dorchester, MA",Dorchester,MA,Suffolk County,81,13403,2581,0.006043423,0.031383185,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02465,126,"West Newton, MA",West Newton,MA,Middlesex County,81,13403,1042,0.006043423,0.077735125,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02720,126,"Fall River, MA",Fall River,MA,Bristol County,79,13403,5123,0.005894203,0.015420652,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02703,126,"Attleboro, MA",Attleboro,MA,Bristol County,78,13403,4609,0.005819593,0.016923411,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02131,126,"Roslindale, MA",Roslindale,MA,Suffolk County,75,13403,3431,0.005595762,0.021859516,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02148,126,"Malden, MA",Malden,MA,Middlesex County,75,13403,6340,0.005595762,0.011829653,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02740,126,"New Bedford, MA",New Bedford,MA,Bristol County,75,13403,6740,0.005595762,0.011127596,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02478,126,"Belmont, MA",Belmont,MA,Middlesex County,74,13403,1666,0.005521152,0.044417767,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02035,126,"Foxboro, MA",Foxboro,MA,Norfolk County,73,13403,1858,0.005446542,0.039289559,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02184,126,"Braintree, MA",Braintree,MA,Norfolk County,71,13403,4801,0.005297321,0.014788586,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01843,126,"Lawrence, MA",Lawrence,MA,Essex County,70,13403,3234,0.005222711,0.021645022,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02127,126,"Boston, MA",Boston,MA,Suffolk County,69,13403,3350,0.005148101,0.020597015,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01432,126,"Ayer, MA",Ayer,MA,Middlesex County,67,13403,1075,0.004998881,0.062325581,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02121,126,"Dorchester, MA",Dorchester,MA,Suffolk County,67,13403,3478,0.004998881,0.019263945,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02151,126,"Revere, MA",Revere,MA,Suffolk County,64,13403,6557,0.00477505,0.009760561,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02460,126,"Newtonville, MA",Newtonville,MA,Middlesex County,64,13403,723,0.00477505,0.088520055,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01701,126,"Framingham, MA",Framingham,MA,Middlesex County,63,13403,3169,0.00470044,0.019880088,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02724,126,"Fall River, MA",Fall River,MA,Bristol County,63,13403,2674,0.00470044,0.023560209,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02155,126,"Medford, MA",Medford,MA,Middlesex County,62,13403,5871,0.00462583,0.010560382,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02467,126,"Chestnut Hill, MA",Chestnut Hill,MA,Norfolk County,62,13403,1300,0.00462583,0.047692308,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02125,126,"Dorchester, MA",Dorchester,MA,Suffolk County,61,13403,3535,0.00455122,0.017256011,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,01463,126,"Pepperell, MA",Pepperell,MA,Middlesex County,60,13403,956,0.00447661,0.062761506,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02474,126,"Arlington, MA",Arlington,MA,Middlesex County,57,13403,2420,0.004252779,0.023553719,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02128,126,"Boston, MA",Boston,MA,Suffolk County,56,13403,4007,0.004178169,0.013975543,"10,000-19,999",Teaching Hospital,$250M-$500M
Steward St. Elizabeth's Medical Center,Steward Health Care System,Teaching Hospital,02170,126,"Quincy, MA",Quincy,MA,Norfolk County,54,13403,1698,0.004028949,0.03180212,"10,000-19,999",Teaching Hospital,$250M-$500M
